Billing Month,Property_Name,Unit_Number,Tenant_Name,Amount Expected,Amount Paid,Payment Date,Collection Status
2026-04,Sunshine Apartments,S1,Alice Mutua,50000,0,10/04/2026,Unpaid
2026-04,Sunshine Apartments,S2,Michael Kimani,50000,0,10/04/2026,Unpaid
2026-04,Sunshine Apartments,S3,Jane Nafula,50000,0,10/04/2026,Unpaid
2026-03,Greenwood Plaza,G1,John Kamau,50000,50000,10/03/2026,Paid
2026-03,Greenwood Plaza,G2,Sarah Wanjiku,50000,50000,10/03/2026,Paid
2026-03,Greenwood Plaza,G3,David Otieno,50000,50000,10/03/2026,Paid
2026-03,Sunshine Apartments,S1,Alice Mutua,50000,50000,10/03/2026,Paid
2026-03,Sunshine Apartments,S2,Michael Kimani,50000,50000,10/03/2026,Paid
2026-03,Sunshine Apartments,S3,Jane Nafula,50000,50000,10/03/2026,Paid
2026-02,Greenwood Plaza,G1,John Kamau,50000,50000,10/02/2026,Paid
2026-02,Greenwood Plaza,G2,Sarah Wanjiku,50000,50000,10/02/2026,Paid
2026-02,Greenwood Plaza,G3,David Otieno,50000,50000,10/02/2026,Paid
2026-02,Sunshine Apartments,S1,Alice Mutua,50000,50000,10/02/2026,Paid
2026-02,Sunshine Apartments,S2,Michael Kimani,50000,50000,10/02/2026,Paid
2026-02,Sunshine Apartments,S3,Jane Nafula,50000,50000,10/02/2026,Paid
2026-01,Greenwood Plaza,G1,John Kamau,50000,50000,10/01/2026,Paid
2026-01,Greenwood Plaza,G2,Sarah Wanjiku,50000,50000,10/01/2026,Paid
2026-01,Greenwood Plaza,G3,David Otieno,50000,50000,10/01/2026,Paid
2026-01,Sunshine Apartments,S1,Alice Mutua,50000,50000,10/01/2026,Paid
2026-01,Sunshine Apartments,S2,Michael Kimani,50000,50000,10/01/2026,Paid
2026-01,Sunshine Apartments,S3,Jane Nafula,50000,50000,10/01/2026,Paid
